=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7f06a33cb730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-06-18 14:18:53.749152 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 864  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : True  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : False  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : True  local_rank : 0  gpu : 0  world_size : 4 
 ! Weight decay NOT applied to BN parameters 
98
63
Warning:  FP16_Optimizer is deprecated and dangerous, and will be deleted soon.  If it still works, you're probably getting lucky.  For mixed precision, use the documented API https://nvidia.github.io/apex/amp.html, with opt_level=O1.
DLL 2020-06-18 14:19:17.841281 - Epoch: 0 Iteration: 1  train.loss : 7.09375  train.total_ips : 145.75 img/s
DLL 2020-06-18 14:19:19.557400 - Epoch: 0 Iteration: 2  train.loss : 7.08594  train.total_ips : 2013.94 img/s
DLL 2020-06-18 14:19:20.899380 - Epoch: 0 Iteration: 3  train.loss : 7.07031  train.total_ips : 2575.65 img/s
DLL 2020-06-18 14:19:22.242455 - Epoch: 0 Iteration: 4  train.loss : 7.10938  train.total_ips : 2573.29 img/s
DLL 2020-06-18 14:19:23.585720 - Epoch: 0 Iteration: 5  train.loss : 7.13281  train.total_ips : 2573.09 img/s
DLL 2020-06-18 14:19:24.928558 - Epoch: 0 Iteration: 6  train.loss : 7.14062  train.total_ips : 2573.80 img/s
DLL 2020-06-18 14:19:26.271891 - Epoch: 0 Iteration: 7  train.loss : 7.14844  train.total_ips : 2572.89 img/s
DLL 2020-06-18 14:19:27.616468 - Epoch: 0 Iteration: 8  train.loss : 7.16797  train.total_ips : 2570.85 img/s
DLL 2020-06-18 14:19:28.961206 - Epoch: 0 Iteration: 9  train.loss : 7.17188  train.total_ips : 2570.04 img/s
DLL 2020-06-18 14:19:30.306054 - Epoch: 0 Iteration: 10  train.loss : 7.17969  train.total_ips : 2569.97 img/s
DLL 2020-06-18 14:19:31.654763 - Epoch: 0 Iteration: 11  train.loss : 7.17188  train.total_ips : 2562.61 img/s
DLL 2020-06-18 14:19:33.006721 - Epoch: 0 Iteration: 12  train.loss : 7.12891  train.total_ips : 2556.44 img/s
DLL 2020-06-18 14:19:34.354688 - Epoch: 0 Iteration: 13  train.loss : 7.14844  train.total_ips : 2564.05 img/s
DLL 2020-06-18 14:19:35.704269 - Epoch: 0 Iteration: 14  train.loss : 7.11719  train.total_ips : 2560.98 img/s
