name_gpu,num_gpu,watt,price,ssd,bert_base_squad,bert_large_squad,gnmt,resnet50,tacotron2,waveglow
Quadro RTX 8000,1,260,6037.5,256,192,64,968,928,148,32
LambdaCloud 1x V100 16GB,1,300,9937.5,96,48,16,256,256,48,8
RTX 3090,1,350,2750,140,96,28,464,448,88,18
LambdaCloud 1x A10,1,150,3125,140,80,28,400,448,80,18
LambdaCloud 1x A100 40GB PCIe,1,250,10437.5,224,160,48,800,720,144,24
A100 80GB PCIe,1,300,13287.5,448,320,112,1520,1280,256,48
A100 80GB SXM4,1,400,16250,448,320,112,1520,1280,256,48
RTX 6000 Ada,1,300,7680,256,192,64,968,928,148,32
RTX A6000,1,300,4437.5,256,192,64,968,928,148,32
RTX 4090,1,450,2125,140,96,28,464,448,88,18
LambdaCloud 2x V100 16GB,2,600,19875,192,96,32,512,512,96,16
2x RTX 6000 Ada,2,600,15360,512,384,128,1936,1856,296,64
2x RTX A6000,2,600,8875,512,384,128,1936,1856,296,64
2x RTX 3090,2,700,5500,280,192,56,928,896,176,36
2x RTX 4090,2,900,4250,280,192,56,928,896,176,36
2x A100 80GB PCIe,2,600,26575,896,640,224,3040,2560,512,96
2x A100 80GB SXM4,2,800,32500,896,640,224,3040,2560,512,96
LambdaCloud 4x V100 16GB,4,1200,39750,384,192,64,1024,1024,192,32
4x RTX 6000 Ada,4,1200,30720,1024,768,256,3872,3712,592,128
4x A100 80GB SXM4,4,1600,65000,1792,1280,448,6080,5120,1024,192
LambdaCloud 8x V100 16GB,8,2400,79500,768,384,128,2048,2048,384,64
8x RTX 6000 Ada,8,2400,61440,2048,1536,512,7744,7424,1184,256
8x A100 80GB SXM4,8,3200,130000,3584,2560,896,12160,10240,2048,384
LambdaCloud 8x H100 80GB SXM5,8,5600,293750,3584,2560,896,12160,10240,2048,384
LambdaCloud 1x H100 80GB PCIe,1,350,30918,448,320,112,1520,1280,256,48
LambdaCloud 1x H100 80GB SXM5,1,700,36718.75,448,320,112,1520,1280,256,48
LambdaCloud 2x H100 80GB SXM5,2,1400,73437.5,896,640,224,3040,2560,512,96
LambdaCloud 4x H100 80GB SXM5,4,2800,146875,1792,1280,448,6080,5120,1024,192
LambdaCloud 8x H100 80GB SXM5,8,5600,293750,3584,2560,896,12160,10240,2048,384
LambdaCloud 1x GH200 96GB,1,700,45000,480,384,152,1648,1360,384,48
