30, 0 %, 1 MiB
30, 0 %, 1 MiB
30, 0 %, 3 MiB
30, 0 %, 3 MiB
30, 0 %, 3 MiB
30, 0 %, 3 MiB
30, 0 %, 3 MiB
31, 4 %, 346 MiB
32, 0 %, 1516 MiB
32, 0 %, 1594 MiB
32, 0 %, 1594 MiB
32, 0 %, 1594 MiB
33, 0 %, 1594 MiB
33, 0 %, 1594 MiB
34, 20 %, 29846 MiB
41, 100 %, 30958 MiB
43, 100 %, 31446 MiB
44, 100 %, 31446 MiB
46, 100 %, 31446 MiB
47, 100 %, 31446 MiB
49, 100 %, 31446 MiB
50, 100 %, 31446 MiB
51, 100 %, 31446 MiB
53, 100 %, 31446 MiB
54, 100 %, 31446 MiB
55, 100 %, 31446 MiB
56, 100 %, 31446 MiB
57, 100 %, 31446 MiB
58, 98 %, 31446 MiB
59, 100 %, 31446 MiB
60, 93 %, 31446 MiB
60, 94 %, 31446 MiB
61, 100 %, 31446 MiB
62, 94 %, 31446 MiB
63, 97 %, 31446 MiB
64, 95 %, 31446 MiB
64, 95 %, 31446 MiB
65, 95 %, 31446 MiB
66, 97 %, 31446 MiB
67, 94 %, 31446 MiB
67, 100 %, 31690 MiB
68, 98 %, 31690 MiB
68, 96 %, 31690 MiB
69, 100 %, 31690 MiB
70, 97 %, 31690 MiB
70, 97 %, 31690 MiB
71, 98 %, 31690 MiB
72, 99 %, 31690 MiB
72, 97 %, 31690 MiB
73, 100 %, 31690 MiB
73, 100 %, 31690 MiB
73, 100 %, 31690 MiB
74, 100 %, 31690 MiB
74, 100 %, 31690 MiB
75, 100 %, 31690 MiB
75, 100 %, 31690 MiB
76, 100 %, 31690 MiB
76, 100 %, 31690 MiB
76, 97 %, 31690 MiB
77, 98 %, 31690 MiB
77, 98 %, 31690 MiB
77, 98 %, 31690 MiB
78, 98 %, 31690 MiB
78, 100 %, 31690 MiB
77, 100 %, 31690 MiB
78, 100 %, 31690 MiB
76, 100 %, 31690 MiB
73, 1 %, 31600 MiB
73, 100 %, 1 MiB
