Warning:  if --fp16 is not used, static_loss_scale will be ignored.
=> creating model '('resnet50', 'classic')'
Version: {'net': <class 'image_classification.resnet.ResNet'>, 'block': <class 'image_classification.resnet.Bottleneck'>, 'layers': [3, 4, 6, 3], 'widths': [64, 128, 256, 512], 'expansion': 4, 'num_classes': 1000}
Config: {'conv': <class 'torch.nn.modules.conv.Conv2d'>, 'conv_init': 'fan_out', 'nonlinearity': 'relu', 'last_bn_0_init': False, 'activation': <function <lambda> at 0x7fef93661730>}
read 1281167 files from 1000 directories
read 50000 files from 1000 directories
DLL 2020-03-07 03:27:57.404684 - PARAMETER data : /data/imagenet  data_backend : dali-cpu  arch : resnet50  model_config : classic  workers : 5  epochs : 2  batch_size : 160  optimizer_batch_size : -1  lr : 0.1  lr_schedule : step  warmup : 0  label_smoothing : 0.0  mixup : 0.0  momentum : 0.9  weight_decay : 0.0001  bn_weight_decay : False  nesterov : False  print_freq : 1  resume :   pretrained_weights :   fp16 : False  static_loss_scale : 256.0  dynamic_loss_scale : False  prof : 100  amp : True  seed : None  gather_checkpoints : False  raport_file : benchmark.json  evaluate : False  training_only : True  save_checkpoints : True  workspace : ./  distributed : False  local_rank : 0  gpu : 0  world_size : 1 
 ! Weight decay NOT applied to BN parameters 
98
63
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : 256.0
DLL 2020-03-07 03:28:02.093610 - Epoch: 0 Iteration: 1  train.loss : 7.14453  train.total_ips : 34.28 img/s
DLL 2020-03-07 03:28:02.445819 - Epoch: 0 Iteration: 2  train.loss : 7.36328  train.total_ips : 454.31 img/s
DLL 2020-03-07 03:28:02.742408 - Epoch: 0 Iteration: 3  train.loss : 7.93359  train.total_ips : 539.57 img/s
DLL 2020-03-07 03:28:03.038890 - Epoch: 0 Iteration: 4  train.loss : 7.98047  train.total_ips : 539.78 img/s
DLL 2020-03-07 03:28:03.336265 - Epoch: 0 Iteration: 5  train.loss : 8.35156  train.total_ips : 538.15 img/s
DLL 2020-03-07 03:28:03.632871 - Epoch: 0 Iteration: 6  train.loss : 8.55469  train.total_ips : 539.55 img/s
DLL 2020-03-07 03:28:03.929876 - Epoch: 0 Iteration: 7  train.loss : 10.57031  train.total_ips : 538.82 img/s
DLL 2020-03-07 03:28:04.226569 - Epoch: 0 Iteration: 8  train.loss : 8.76562  train.total_ips : 539.41 img/s
DLL 2020-03-07 03:28:04.523354 - Epoch: 0 Iteration: 9  train.loss : 8.60938  train.total_ips : 539.21 img/s
DLL 2020-03-07 03:28:04.819860 - Epoch: 0 Iteration: 10  train.loss : 8.78906  train.total_ips : 539.73 img/s
DLL 2020-03-07 03:28:05.116649 - Epoch: 0 Iteration: 11  train.loss : 8.75000  train.total_ips : 539.23 img/s
DLL 2020-03-07 03:28:05.413630 - Epoch: 0 Iteration: 12  train.loss : 10.60156  train.total_ips : 538.86 img/s
DLL 2020-03-07 03:28:05.710477 - Epoch: 0 Iteration: 13  train.loss : 9.48438  train.total_ips : 539.11 img/s
